uuid;Fullname;sex;meters;kilogramm
6fe59c84-f7d8-489d-9dd4-9f47f502161c;Jakob Kelm;male;1.69;162
331412b9-f12a-4bd1-8506-9754e0c970b6;Luise Schulte;female;2.12;49
cc1ee809-50b9-48e6-8c9c-326121025e40;Aaliyah Vangermain;female;1.78;86
38673f51-bab4-4bad-b8a9-5117662a2dde;James Niklaus;male;1.98;120
51cfa5de-a954-4ee4-af16-8f6bee3b1c92;Henning Zender;male;1.07;41
13d89507-31a5-4b51-944d-eeafa7cedf91;Willi Renk;male;1.34;80
0ec1f0f2-98d4-4c26-ae0b-bb1a04a42368;Curt Klaus;male;1.14;56
1209c523-0f34-416f-be40-6ecaeed06067;Marlena Fassbender;female;1.88;100
fc23da82-95e4-4fab-a352-41e46c91371d;Leona Frosch;female;1.67;166
dceab453-2124-4425-841d-8d6a7429a104;Esther Wolfarth;female;1.76;168
40d61d93-38b0-4bed-bc35-3031a42d4bf9;Jannik Geese;male;1.93;168
ee3b1dfe-396c-4057-a458-52198c00c4f6;Louisa Kahl;female;1;106
5a27ef76-4ee2-4a8b-9b29-7235429094d2;Victor Teichmann;male;1.59;146
a7c8ecff-0768-4e1f-9b6a-0bc37468b60c;Ismael Aigner;male;1.65;115
20163df5-f4d7-4af3-8e56-414b803cc55a;Prof. Dr. Elly Battke;female;1.85;45
e4060244-8272-42c8-b02e-f9d8318155a0;Elea Kunz;female;2.01;116
6de89d74-7cb3-4f17-8012-52ee6ef7cedc;Peer Schultz;male;1.89;79
b6e4fac3-ee12-4cfc-b45e-73150b51760e;Liam Götz;male;1.51;45
f05f99c8-5b7e-478c-ad6e-28e362638405;Fiona Bieler;female;2.24;101
faa449c8-fe80-4973-811e-06b59de6fd9d;Nisa Pfersich;female;1.63;132
457276f7-7578-451d-b1a2-96ea21d1295a;Hanna Damaske;female;2.33;114
075fc433-6c12-42db-b228-65072255d18d;Darren Pollmächer;male;2.34;110
4b95812a-7f34-41e6-9d8b-7ab84fd2e445;Anne Kleinsteuber;female;1.02;44
57ee0d2c-14a0-451b-a63a-db34431002b1;Prof. Dr. Teresa Restorff;female;2.23;52
0b26373e-88fa-424b-88a4-9dbe2c95bf48;Paul Finke;male;1.46;53
69d5d8c0-2633-4f35-9302-af6407f8876b;Dr. Logan Feld;male;1.31;82
dd84d81b-72a7-4ef3-85aa-7202b3fa6c32;Juna Elss;female;1.83;142
ddc4cba7-e292-47a3-8a11-d225927094bc;Janek Bethke;male;1.31;91
cfeb8a89-892d-46d9-95d3-90137b15f0fb;Rania Henry;female;1.38;119
da80d56d-cf99-462e-8dea-9c8081f4d6e6;Vitus Tischmann;male;1.63;45
e32c8d40-d5ca-4fc0-be31-2a1b8741acd6;Korinna Osenberg;female;2.21;141
1ca56e32-864e-423d-b825-1d8ebbdc29a1;Jara Baarck;female;1.73;135
f5943d44-b6db-40c5-a180-fb4be9f6bebc;Daria Keiner;female;1.82;141
f699af09-5c6a-4bb0-8e69-a253fc2077b2;Carina Jerschabek;female;1.95;51
e42c45de-5cd8-45d2-b4a6-2dc6e7e175af;Nadine Hort;female;2;60
7599d477-0fe7-451c-ac10-ce0161336400;Angelina Schnieder;female;1.8;127
ddb97e39-f64d-42d1-ae15-60c7c6f58522;Timothy Dyett;male;2.08;40
6695b9f5-6865-4c99-9d88-51fc1048ea0b;Marc Bienias;male;1.77;39
606b1f8f-7be6-486e-8eb4-de6d7d8aa080;Sarah Dahmen;female;1.3;134
a9567db0-fee4-4e63-bc98-01dc94046d4d;Luana Kupprion;female;1.87;165
579c0402-295f-4719-98dc-c8cc44668aa0;Ela Ochs;female;2.1;114
33746ed3-f6bc-4862-8ec7-adedbd5aecd6;Sven Zeyhle;male;2.02;60
ea18f8a4-0a82-444a-bfe9-2ff3d5af2851;Juan Otte;male;1.11;125
ad886dba-d513-490d-ab45-9cb795b6fb7a;Marcel Koubaa;male;2.24;54
db391dec-fa88-4757-8498-0f56b1e28db8;Malena Kohrt;female;2.06;93
0596523b-4cf8-4445-8999-cd560a2a8d66;Josephine Gutowicz;female;2.16;59
96fbdd34-9037-426e-8b09-4969e96a632a;Said Grau;male;1.18;141
f99df829-6163-4101-be4a-6d7978678ae4;Azra Wickert;female;1.51;117
6244e10f-29cd-4d9f-9572-a3e33dac7ff9;Lotte Diedrich;female;2.35;100
5c1ebaf6-71d4-47f9-bb9f-0dd80db76919;Julien Leimbach;male;1.1;140
751dcbec-cd2b-49b7-9058-bc844e83a0e1;Amir Zekl;male;1.59;100
fd7fe3e1-cb8c-42d7-80e4-c0e8a279fc25;Eva Newton;female;2.21;142
b3dcb6f7-b112-498d-a76b-42b2af43b901;Livia Buschbaum;female;1.44;57
b87df12d-b063-456f-8455-e60795ce0f39;Alana Pflieger;female;2.07;74
1b099227-3861-4485-be7c-34d35a13888b;Hassan Friedek;male;1.6;128
7a8d2f22-54cc-4fd7-84be-262b3419d880;Bianka Isak;female;2.25;143
7b7c63c6-937a-4ff9-9d9d-55eb2028cc3d;Maxine Restle;female;2.04;138
4a09a974-5640-415f-ba1e-a7ad9bee04ca;Emelie Feld;female;1.27;105
2dbe8003-a7d4-46ab-b439-8e8906fdd1ae;Alan Hehl;male;1.1;137
1da45fff-1924-48c8-9be7-379e73467f4b;Amanda Moede;female;1.91;48
18fd8155-c388-426a-ac1a-41c7287b8261;Linn Lenz;female;2.05;104
0c72d0eb-125c-48e9-a23f-7ffcb1421dee;Nevio Ghosh;male;1.82;163
912b55be-ce1e-4982-a76e-a1b732a65ea2;Malia Grams;female;2.04;36
e982af02-0e3c-4aad-a024-87f89c92c846;Mohamed Sprenger;male;1.99;161
e222f672-6e70-4fc3-a9e4-e1b2e2de739a;Jay Emmelmann;male;1.01;78
14a903eb-d6cd-4629-b303-6bd1ca2ca412;Eren Ryzih;male;1.45;124
f764ea76-5fb4-49c9-9239-0271005fa69f;Annika Franta;female;2.14;124
84756bdc-8bf0-46e3-aea7-83c266f0af8d;Christin Burkhardt;female;2.24;81
43317d0e-6b3d-4300-9006-a928b6f1c618;Jonah Kock;female;1.52;84
d6c681c9-366e-4110-93ac-c4d00fa37989;Leonora Neimke;female;1.7;90
